equity,commodity_series,tenor_months_actual,window_days,data_window_start,data_window_end,n_observations,coint_p,coint_passed,coint_p_bh_adjusted,spread_adf_p,granger_maxlag_used,granger_p_lag5,granger_p_lag20,granger_p_lag60,granger_p_lag90,granger_p_lag130,granger_best_lag,granger_best_p,granger_passed,beta,r_squared
ROK,HGZ25.CMX spread,31.57,30,2020-09-29,2025-12-29,1319,0.7458123277867006,False,0.9272261372483305,0.0857,130,0.8534270238983286,0.029673733406527885,0.014162277319626134,0.1311073698692558,0.5710062025714704,42,0.001397119314808386,True,0.0001097926328845105,0.00015994291854215525
ROK,HG=F front-month (matched HGZ25.CMX window),1.0,30,2020-09-29,2025-12-29,1319,0.29556916861293403,False,0.47705900898929704,,130,0.26603936423425717,0.2851246217525844,0.40684249972361197,0.6341640586110784,0.42750395601284125,23,0.10699724571999016,False,0.18480304064563446,0.02098697805966354
ROK,HGZ25.CMX level,31.57,60,2020-09-29,2025-12-29,1319,0.24015244840009364,False,0.4332161814276199,,130,0.32757622250733315,0.39035548047724133,0.6702409166893868,0.8840916928534556,0.7100618248998027,23,0.2125053594978331,False,0.19209108238113928,0.018915602160363365
ROK,HGZ25.CMX spread,31.57,60,2020-09-29,2025-12-29,1319,0.7458123277867006,False,0.9272261372483305,0.0857,130,0.8534270238983286,0.029673733406527885,0.014162277319626134,0.1311073698692558,0.5710062025714704,42,0.001397119314808386,True,-0.00046058199629983435,0.0015730788352440461
ROK,HG=F front-month (matched HGZ25.CMX window),1.0,60,2020-09-29,2025-12-29,1319,0.29556916861293403,False,0.47705900898929704,,130,0.26603936423425717,0.2851246217525844,0.40684249972361197,0.6341640586110784,0.42750395601284125,23,0.10699724571999016,False,0.19414025677529187,0.02487511858802982
ROK,HGZ25.CMX level,31.57,90,2020-09-29,2025-12-29,1319,0.24015244840009364,False,0.4332161814276199,,130,0.32757622250733315,0.39035548047724133,0.6702409166893868,0.8840916928534556,0.7100618248998027,23,0.2125053594978331,False,0.11627265199505867,0.007160577443190763
ROK,HGZ25.CMX spread,31.57,90,2020-09-29,2025-12-29,1319,0.7458123277867006,False,0.9272261372483305,0.0857,130,0.8534270238983286,0.029673733406527885,0.014162277319626134,0.1311073698692558,0.5710062025714704,42,0.001397119314808386,True,-0.00045687733508718853,0.002059298992614478
ROK,HG=F front-month (matched HGZ25.CMX window),1.0,90,2020-09-29,2025-12-29,1319,0.29556916861293403,False,0.47705900898929704,,130,0.26603936423425717,0.2851246217525844,0.40684249972361197,0.6341640586110784,0.42750395601284125,23,0.10699724571999016,False,0.16020760031053974,0.018148247371277515
TEL,HGZ25.CMX level,31.57,30,2020-09-29,2025-12-29,1319,0.31890901919192327,False,0.4810307668224177,,130,0.15087968899299742,0.06412409537075198,0.4281508372639396,0.2622402884451254,0.1407518272114318,20,0.06412409537075198,False,0.26969275832704337,0.05666276563806616
TEL,HGZ25.CMX spread,31.57,30,2020-09-29,2025-12-29,1319,0.978984315683333,False,0.978984315683333,0.0857,130,0.20935644535060205,0.03972811860292674,0.41891646461341603,0.5482643028466307,0.7475039781684814,18,0.025165058360654385,True,0.00010703321927573693,0.00023317781336273935
TEL,HG=F front-month (matched HGZ25.CMX window),1.0,30,2020-09-29,2025-12-29,1319,0.33463009865907317,False,0.4810307668224177,,130,0.10080692353035381,0.058491734285807825,0.20614651524878516,0.14547603445947038,0.13613772048166628,23,0.052643986891955895,False,0.24114478759291028,0.05492699804036738
TEL,HGZ25.CMX level,31.57,60,2020-09-29,2025-12-29,1319,0.31890901919192327,False,0.4810307668224177,,130,0.15087968899299742,0.06412409537075198,0.4281508372639396,0.2622402884451254,0.1407518272114318,20,0.06412409537075198,False,0.21572517291433838,0.03417226651121352
TEL,HGZ25.CMX spread,31.57,60,2020-09-29,2025-12-29,1319,0.978984315683333,False,0.978984315683333,0.0857,130,0.20935644535060205,0.03972811860292674,0.41891646461341603,0.5482643028466307,0.7475039781684814,18,0.025165058360654385,True,-0.0002083249210284431,0.0004617227700347559
TEL,HG=F front-month (matched HGZ25.CMX window),1.0,60,2020-09-29,2025-12-29,1319,0.33463009865907317,False,0.4810307668224177,,130,0.10080692353035381,0.058491734285807825,0.20614651524878516,0.14547603445947038,0.13613772048166628,23,0.052643986891955895,False,0.23104823858764795,0.05046678675232619
TEL,HGZ25.CMX level,31.57,90,2020-09-29,2025-12-29,1319,0.31890901919192327,False,0.4810307668224177,,130,0.15087968899299742,0.06412409537075198,0.4281508372639396,0.2622402884451254,0.1407518272114318,20,0.06412409537075198,False,0.24070246734261289,0.033705551120120636
TEL,HGZ25.CMX spread,31.57,90,2020-09-29,2025-12-29,1319,0.978984315683333,False,0.978984315683333,0.0857,130,0.20935644535060205,0.03972811860292674,0.41891646461341603,0.5482643028466307,0.7475039781684814,18,0.025165058360654385,True,-0.0002633313636091547,0.0007488177295444931
TEL,HG=F front-month (matched HGZ25.CMX window),1.0,90,2020-09-29,2025-12-29,1319,0.33463009865907317,False,0.4810307668224177,,130,0.10080692353035381,0.058491734285807825,0.20614651524878516,0.14547603445947038,0.13613772048166628,23,0.052643986891955895,False,0.275387078843581,0.05889833759786334
ROK,HGZ26.CMX level,35.61,30,2021-09-29,2026-04-28,1149,0.1643841502603608,False,0.34130431344154966,,130,0.06962277527652544,0.23395167148325957,0.5384626153032863,0.8804894760193112,0.9626376455169422,4,0.04369827204675034,True,0.36440444993338933,0.05573374800563935
ROK,HGZ26.CMX spread,35.61,30,2021-09-29,2026-04-28,1149,0.6637369278151152,False,0.860053483929445,0.0426,130,0.6822954646897055,0.7551307362130893,0.246163288854553,0.26362183015839413,0.7015612277340746,46,0.10237308261405573,False,0.00022062151351517754,0.00011578558453362309
ROK,HG=F front-month (matched HGZ26.CMX window),1.0,30,2021-09-29,2026-04-28,1149,0.1486219585041022,False,0.34130431344154966,,130,0.04473697269961644,0.1743896206207783,0.36609213227585696,0.6978509535156688,0.8057324110036885,24,0.028828938781730495,True,0.2780451448700818,0.04186402630164965
ROK,HGZ26.CMX level,35.61,60,2021-09-29,2026-04-28,1149,0.1643841502603608,False,0.34130431344154966,,130,0.06962277527652544,0.23395167148325957,0.5384626153032863,0.8804894760193112,0.9626376455169422,4,0.04369827204675034,True,0.30410611367452756,0.040293867276042894
ROK,HGZ26.CMX spread,35.61,60,2021-09-29,2026-04-28,1149,0.6637369278151152,False,0.860053483929445,0.0426,130,0.6822954646897055,0.7551307362130893,0.246163288854553,0.26362183015839413,0.7015612277340746,46,0.10237308261405573,False,0.0008194196270137924,0.0018514590740003056
ROK,HG=F front-month (matched HGZ26.CMX window),1.0,60,2021-09-29,2026-04-28,1149,0.1486219585041022,False,0.34130431344154966,,130,0.04473697269961644,0.1743896206207783,0.36609213227585696,0.6978509535156688,0.8057324110036885,24,0.028828938781730495,True,0.2795477367503711,0.04465472113795088
ROK,HGZ26.CMX level,35.61,90,2021-09-29,2026-04-28,1149,0.1643841502603608,False,0.34130431344154966,,130,0.06962277527652544,0.23395167148325957,0.5384626153032863,0.8804894760193112,0.9626376455169422,4,0.04369827204675034,True,0.23910266316937906,0.026053287228288813
ROK,HGZ26.CMX spread,35.61,90,2021-09-29,2026-04-28,1149,0.6637369278151152,False,0.860053483929445,0.0426,130,0.6822954646897055,0.7551307362130893,0.246163288854553,0.26362183015839413,0.7015612277340746,46,0.10237308261405573,False,8.992036624202997e-05,2.2392991887221214e-05
